t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
leaf1,leaf10,leaf2,leaf3,0.1,0.78,0.12,100.0
leaf1,leaf10,leaf2,leaf4,0.32,0.26,0.42,100.0
leaf1,leaf10,leaf2,leaf5,0.1,0.78,0.12,100.0
leaf1,leaf10,leaf2,leaf6,0.28,0.36,0.36,100.0
leaf1,leaf10,leaf2,leaf7,0.23,0.65,0.12,100.0
leaf1,leaf10,leaf2,leaf8,0.25,0.35,0.4,100.0
leaf1,leaf10,leaf2,leaf9,0.26,0.54,0.2,100.0
leaf1,leaf10,leaf3,leaf4,0.08,0.09,0.83,100.0
leaf1,leaf10,leaf3,leaf5,0.98,0.01,0.01,100.0
leaf1,leaf10,leaf3,leaf6,0.12,0.15,0.73,100.0
leaf1,leaf10,leaf3,leaf7,0.2,0.22,0.58,100.0
leaf1,leaf10,leaf3,leaf8,0.08,0.08,0.84,100.0
leaf1,leaf10,leaf3,leaf9,0.44,0.12,0.44,100.0
leaf1,leaf10,leaf4,leaf5,0.08,0.83,0.09,100.0
leaf1,leaf10,leaf4,leaf6,0.34,0.41,0.25,100.0
leaf1,leaf10,leaf4,leaf7,0.13,0.76,0.11,100.0
leaf1,leaf10,leaf4,leaf8,0.31,0.35,0.34,100.0
leaf1,leaf10,leaf4,leaf9,0.22,0.61,0.17,100.0
leaf1,leaf10,leaf5,leaf6,0.12,0.15,0.73,100.0
leaf1,leaf10,leaf5,leaf7,0.2,0.22,0.58,100.0
leaf1,leaf10,leaf5,leaf8,0.08,0.08,0.84,100.0
leaf1,leaf10,leaf5,leaf9,0.45,0.11,0.44,100.0
leaf1,leaf10,leaf6,leaf7,0.23,0.63,0.14,100.0
leaf1,leaf10,leaf6,leaf8,0.3,0.3,0.4,100.0
leaf1,leaf10,leaf6,leaf9,0.26,0.54,0.2,100.0
leaf1,leaf10,leaf7,leaf8,0.11,0.14,0.75,100.0
leaf1,leaf10,leaf7,leaf9,0.23,0.35,0.42,100.0
leaf1,leaf10,leaf8,leaf9,0.14,0.66,0.2,100.0
leaf1,leaf2,leaf3,leaf4,0.26,0.32,0.42,100.0
leaf1,leaf2,leaf3,leaf5,0.99,0.0,0.01,100.0
leaf1,leaf2,leaf3,leaf6,0.37,0.28,0.35,100.0
leaf1,leaf2,leaf3,leaf7,0.66,0.22,0.12,100.0
leaf1,leaf2,leaf3,leaf8,0.34,0.28,0.38,100.0
leaf1,leaf2,leaf3,leaf9,0.62,0.23,0.15,100.0
leaf1,leaf2,leaf4,leaf5,0.26,0.42,0.32,100.0
leaf1,leaf2,leaf4,leaf6,0.32,0.34,0.34,100.0
leaf1,leaf2,leaf4,leaf7,0.26,0.42,0.32,100.0
leaf1,leaf2,leaf4,leaf8,0.31,0.34,0.35,100.0
leaf1,leaf2,leaf4,leaf9,0.28,0.45,0.27,100.0
leaf1,leaf2,leaf5,leaf6,0.37,0.28,0.35,100.0
leaf1,leaf2,leaf5,leaf7,0.66,0.22,0.12,100.0
leaf1,leaf2,leaf5,leaf8,0.34,0.28,0.38,100.0
leaf1,leaf2,leaf5,leaf9,0.63,0.23,0.14,100.0
leaf1,leaf2,leaf6,leaf7,0.35,0.36,0.29,100.0
leaf1,leaf2,leaf6,leaf8,0.36,0.3,0.34,100.0
leaf1,leaf2,leaf6,leaf9,0.34,0.41,0.25,100.0
leaf1,leaf2,leaf7,leaf8,0.33,0.26,0.41,100.0
leaf1,leaf2,leaf7,leaf9,0.5,0.29,0.21,100.0
leaf1,leaf2,leaf8,leaf9,0.32,0.4,0.28,100.0
leaf1,leaf3,leaf4,leaf5,0.0,0.99,0.01,100.0
leaf1,leaf3,leaf4,leaf6,0.35,0.4,0.25,100.0
leaf1,leaf3,leaf4,leaf7,0.13,0.76,0.11,100.0
leaf1,leaf3,leaf4,leaf8,0.34,0.33,0.33,100.0
leaf1,leaf3,leaf4,leaf9,0.21,0.65,0.14,100.0
leaf1,leaf3,leaf5,leaf6,0.0,0.01,0.99,100.0
leaf1,leaf3,leaf5,leaf7,0.0,0.02,0.98,100.0
leaf1,leaf3,leaf5,leaf8,0.0,0.01,0.99,100.0
leaf1,leaf3,leaf5,leaf9,0.06,0.03,0.91,100.0
leaf1,leaf3,leaf6,leaf7,0.23,0.63,0.14,100.0
leaf1,leaf3,leaf6,leaf8,0.32,0.29,0.39,100.0
leaf1,leaf3,leaf6,leaf9,0.2,0.67,0.13,100.0
leaf1,leaf3,leaf7,leaf8,0.13,0.12,0.75,100.0
leaf1,leaf3,leaf7,leaf9,0.15,0.49,0.36,100.0
leaf1,leaf3,leaf8,leaf9,0.11,0.74,0.15,100.0
leaf1,leaf4,leaf5,leaf6,0.4,0.35,0.25,100.0
leaf1,leaf4,leaf5,leaf7,0.76,0.13,0.11,100.0
leaf1,leaf4,leaf5,leaf8,0.33,0.34,0.33,100.0
leaf1,leaf4,leaf5,leaf9,0.66,0.21,0.13,100.0
leaf1,leaf4,leaf6,leaf7,0.41,0.26,0.33,100.0
leaf1,leaf4,leaf6,leaf8,0.33,0.32,0.35,100.0
leaf1,leaf4,leaf6,leaf9,0.41,0.28,0.31,100.0
leaf1,leaf4,leaf7,leaf8,0.33,0.33,0.34,100.0
leaf1,leaf4,leaf7,leaf9,0.57,0.24,0.19,100.0
leaf1,leaf4,leaf8,leaf9,0.34,0.35,0.31,100.0
leaf1,leaf5,leaf6,leaf7,0.23,0.63,0.14,100.0
leaf1,leaf5,leaf6,leaf8,0.32,0.29,0.39,100.0
leaf1,leaf5,leaf6,leaf9,0.2,0.68,0.12,100.0
leaf1,leaf5,leaf7,leaf8,0.13,0.12,0.75,100.0
leaf1,leaf5,leaf7,leaf9,0.15,0.5,0.35,100.0
leaf1,leaf5,leaf8,leaf9,0.11,0.75,0.14,100.0
leaf1,leaf6,leaf7,leaf8,0.28,0.3,0.42,100.0
leaf1,leaf6,leaf7,leaf9,0.5,0.29,0.21,100.0
leaf1,leaf6,leaf8,leaf9,0.3,0.4,0.3,100.0
leaf1,leaf7,leaf8,leaf9,0.17,0.62,0.21,100.0
leaf10,leaf2,leaf3,leaf4,0.08,0.85,0.07,100.0
leaf10,leaf2,leaf3,leaf5,0.97,0.01,0.02,100.0
leaf10,leaf2,leaf3,leaf6,0.1,0.78,0.12,100.0
leaf10,leaf2,leaf3,leaf7,0.2,0.64,0.16,100.0
leaf10,leaf2,leaf3,leaf8,0.1,0.8,0.1,100.0
leaf10,leaf2,leaf3,leaf9,0.41,0.47,0.12,100.0
leaf10,leaf2,leaf4,leaf5,0.08,0.07,0.85,100.0
leaf10,leaf2,leaf4,leaf6,0.39,0.23,0.38,100.0
leaf10,leaf2,leaf4,leaf7,0.1,0.19,0.71,100.0
leaf10,leaf2,leaf4,leaf8,0.37,0.3,0.33,100.0
leaf10,leaf2,leaf4,leaf9,0.21,0.23,0.56,100.0
leaf10,leaf2,leaf5,leaf6,0.1,0.78,0.12,100.0
leaf10,leaf2,leaf5,leaf7,0.2,0.64,0.16,100.0
leaf10,leaf2,leaf5,leaf8,0.1,0.8,0.1,100.0
leaf10,leaf2,leaf5,leaf9,0.43,0.47,0.1,100.0
leaf10,leaf2,leaf6,leaf7,0.18,0.18,0.64,100.0
leaf10,leaf2,leaf6,leaf8,0.41,0.33,0.26,100.0
leaf10,leaf2,leaf6,leaf9,0.24,0.28,0.48,100.0
leaf10,leaf2,leaf7,leaf8,0.11,0.67,0.22,100.0
leaf10,leaf2,leaf7,leaf9,0.18,0.45,0.37,100.0
leaf10,leaf2,leaf8,leaf9,0.22,0.25,0.53,100.0
leaf10,leaf3,leaf4,leaf5,0.01,0.97,0.02,100.0
leaf10,leaf3,leaf4,leaf6,0.81,0.08,0.11,100.0
leaf10,leaf3,leaf4,leaf7,0.58,0.22,0.2,100.0
leaf10,leaf3,leaf4,leaf8,0.8,0.1,0.1,100.0
leaf10,leaf3,leaf4,leaf9,0.47,0.42,0.11,100.0
leaf10,leaf3,leaf5,leaf6,0.01,0.02,0.97,100.0
leaf10,leaf3,leaf5,leaf7,0.0,0.02,0.98,100.0
leaf10,leaf3,leaf5,leaf8,0.01,0.02,0.97,100.0
leaf10,leaf3,leaf5,leaf9,0.07,0.03,0.9,100.0
leaf10,leaf3,leaf6,leaf7,0.64,0.2,0.16,100.0
leaf10,leaf3,leaf6,leaf8,0.77,0.13,0.1,100.0
leaf10,leaf3,leaf6,leaf9,0.45,0.43,0.12,100.0
leaf10,leaf3,leaf7,leaf8,0.56,0.22,0.22,100.0
leaf10,leaf3,leaf7,leaf9,0.35,0.46,0.19,100.0
leaf10,leaf3,leaf8,leaf9,0.44,0.43,0.13,100.0
leaf10,leaf4,leaf5,leaf6,0.08,0.81,0.11,100.0
leaf10,leaf4,leaf5,leaf7,0.22,0.58,0.2,100.0
leaf10,leaf4,leaf5,leaf8,0.1,0.8,0.1,100.0
leaf10,leaf4,leaf5,leaf9,0.44,0.47,0.09,100.0
leaf10,leaf4,leaf6,leaf7,0.18,0.12,0.7,100.0
leaf10,leaf4,leaf6,leaf8,0.35,0.3,0.35,100.0
leaf10,leaf4,leaf6,leaf9,0.21,0.23,0.56,100.0
leaf10,leaf4,leaf7,leaf8,0.15,0.69,0.16,100.0
leaf10,leaf4,leaf7,leaf9,0.21,0.44,0.35,100.0
leaf10,leaf4,leaf8,leaf9,0.19,0.2,0.61,100.0
leaf10,leaf5,leaf6,leaf7,0.64,0.2,0.16,100.0
leaf10,leaf5,leaf6,leaf8,0.77,0.13,0.1,100.0
leaf10,leaf5,leaf6,leaf9,0.45,0.45,0.1,100.0
leaf10,leaf5,leaf7,leaf8,0.56,0.22,0.22,100.0
leaf10,leaf5,leaf7,leaf9,0.35,0.48,0.17,100.0
leaf10,leaf5,leaf8,leaf9,0.44,0.45,0.11,100.0
leaf10,leaf6,leaf7,leaf8,0.13,0.64,0.23,100.0
leaf10,leaf6,leaf7,leaf9,0.18,0.44,0.38,100.0
leaf10,leaf6,leaf8,leaf9,0.19,0.25,0.56,100.0
leaf10,leaf7,leaf8,leaf9,0.44,0.24,0.32,100.0
leaf2,leaf3,leaf4,leaf5,0.0,1.0,0.0,100.0
leaf2,leaf3,leaf4,leaf6,0.38,0.4,0.22,100.0
leaf2,leaf3,leaf4,leaf7,0.1,0.72,0.18,100.0
leaf2,leaf3,leaf4,leaf8,0.36,0.34,0.3,100.0
leaf2,leaf3,leaf4,leaf9,0.18,0.62,0.2,100.0
leaf2,leaf3,leaf5,leaf6,0.0,0.0,1.0,100.0
